179.619;nan
180.001;nan
180.383;nan
180.764;0.53
181.146;-0.26
181.528;-0.98
181.91;0.13
182.292;-2.49
182.673;0.23
183.055;0.31
183.437;nan
183.818;-0.08
184.2;-0.13
184.581;-0.36
184.963;0.53
185.344;nan
185.726;-1.24
186.107;nan
186.489;nan
186.87;-0.21
187.251;-0.02
187.633;-0.08
188.014;nan
188.395;-0.01
188.777;0.11
189.158;0.13
189.539;0.06
189.92;0.04
190.301;0.11
190.682;0.14
191.063;0.08
191.444;0.12
191.825;0.11
192.206;0.13
192.587;0.10
192.968;0.15
193.349;0.11
193.73;0.13
194.111;0.14
194.492;0.12
194.872;0.13
195.253;0.10
195.634;0.06
196.014;0.13
196.395;0.09
196.776;0.11
197.156;0.08
197.537;0.11
197.917;0.10
198.298;0.13
198.678;0.13
199.059;0.11
199.439;0.08
199.819;0.05
200.2;0.12
200.58;0.10
200.96;0.12
201.341;0.10
201.721;0.05
202.101;0.12
202.481;0.13
202.861;0.15
203.241;0.14
203.621;0.14
204.001;0.11
204.381;0.16
204.761;0.13
205.141;0.19
205.521;0.10
205.901;0.10
206.281;0.08
206.661;0.18
207.04;0.21
207.42;0.11
207.8;0.14
208.18;0.13
208.559;0.08
208.939;0.10
209.318;0.17
209.698;0.13
210.077;0.14
210.457;0.13
210.836;0.06
211.216;0.16
211.595;0.08
211.975;0.15
212.354;0.11
212.733;0.18
213.113;0.16
213.492;0.10
213.871;0.14
214.25;0.10
214.629;0.07
215.009;0.12
215.388;0.13
215.767;0.12
216.146;0.12
216.525;0.14
216.904;0.16
217.283;0.12
217.662;0.13
218.04;0.10
218.419;0.10
218.798;0.10
219.177;0.12
219.556;0.14
219.934;0.09
220.313;0.10
220.692;0.14
221.07;0.13
221.449;0.12
221.827;0.14
222.206;0.10
222.584;0.09
222.963;0.14
223.341;0.12
223.72;0.12
224.098;0.09
224.476;0.11
224.855;0.15
225.233;0.09
225.611;0.07
225.99;0.12
226.368;0.17
226.746;0.18
227.124;0.08
227.502;0.11
227.88;0.09
228.258;0.11
228.636;0.12
229.014;0.10
229.392;0.11
229.77;0.11
230.148;0.10
230.526;0.13
230.903;0.07
231.281;0.08
231.659;0.14
232.037;0.11
232.414;0.09
232.792;0.11
233.169;0.10
233.547;0.09
233.925;0.09
234.302;0.07
234.68;0.11
235.057;0.07
235.434;0.09
235.812;0.15
236.189;0.16
236.566;0.05
236.944;0.08
237.321;0.10
237.698;0.05
238.075;0.11
238.453;0.13
238.83;0.12
239.207;0.09
239.584;0.14
239.961;0.11
240.338;0.14
240.715;0.05
241.092;0.07
241.469;0.08
241.845;0.12
242.222;0.08
242.599;0.12
242.976;0.09
243.353;0.10
243.729;0.12
244.106;0.14
244.483;0.11
244.859;0.22
245.236;0.13
245.612;0.04
245.989;0.10
246.365;0.13
246.742;0.10
247.118;0.08
247.494;0.13
247.871;0.12
248.247;0.06
248.623;0.11
249;0.15
249.376;0.13
249.752;0.16
250.128;0.07
250.504;0.11
250.88;0.11
251.256;0.12
251.632;0.07
252.008;0.11
252.384;0.09
252.76;0.12
253.136;0.13
253.512;0.07
253.888;0.09
254.263;0.10
254.639;0.16
255.015;0.13
255.391;0.11
255.766;0.14
256.142;0.10
256.517;0.09
256.893;0.10
257.269;0.15
257.644;0.11
258.019;0.11
258.395;0.14
258.77;0.10
259.146;0.09
259.521;0.09
259.896;0.15
260.271;0.20
260.647;0.10
261.022;0.09
261.397;0.08
261.772;0.07
262.147;0.07
262.522;0.07
262.897;0.06
263.272;0.10
263.647;0.08
264.022;0.09
264.397;0.05
264.772;0.12
265.147;0.08
265.521;0.13
265.896;0.10
266.271;0.12
266.645;0.15
267.02;0.09
267.395;0.13
267.769;0.14
268.144;0.10
268.518;0.16
268.893;0.09
269.267;0.08
269.642;0.11
270.016;0.17
270.39;0.11
270.765;0.12
271.139;0.15
271.513;0.09
271.887;0.11
272.261;0.10
272.636;0.10
273.01;0.14
273.384;0.11
273.758;0.11
274.132;0.12
274.506;0.10
274.88;0.18
275.254;0.17
275.627;0.06
276.001;0.11
276.375;0.07
276.749;0.11
277.122;0.16
277.496;0.13
277.87;0.11
278.243;0.05
278.617;0.12
278.991;0.13
279.364;0.12
279.738;0.08
280.111;0.11
280.484;0.07
280.858;0.14
281.231;0.05
281.604;0.06
281.978;0.08
282.351;0.10
282.724;0.15
283.097;0.11
283.47;0.11
283.844;0.12
284.217;0.10
284.59;0.05
284.963;0.13
285.336;0.07
285.709;0.11
286.081;0.10
286.454;0.11
286.827;0.11
287.2;0.13
287.573;0.10
287.945;0.12
288.318;0.16
288.691;0.11
289.063;0.12
289.436;0.10
289.808;0.10
290.181;0.06
290.553;0.09
290.926;0.10
291.298;0.07
291.671;0.11
292.043;0.04
292.415;0.05
292.788;0.06
293.16;0.12
293.532;0.07
293.904;0.13
294.276;0.12
294.648;0.08
295.02;0.09
295.392;0.10
295.764;0.11
296.136;0.09
296.508;0.10
296.88;0.07
297.252;0.09
297.624;0.07
297.996;0.11
298.367;0.11
298.739;0.11
299.111;0.09
299.482;0.10
299.854;0.10
300.225;0.08
300.597;0.05
300.968;0.09
301.34;0.10
301.711;0.09
302.083;0.12
302.454;0.10
302.825;0.15
303.197;0.12
303.568;0.11
303.939;0.12
304.31;0.07
304.681;0.08
305.053;0.05
305.424;0.12
305.795;0.08
306.166;0.12
306.537;0.11
306.907;0.13
307.278;0.10
307.649;0.06
308.02;0.13
308.391;0.09
308.762;0.09
309.132;0.08
309.503;0.12
309.874;0.11
310.244;0.11
310.615;0.12
310.985;0.11
311.356;0.10
311.726;0.12
312.097;0.09
312.467;0.11
312.837;0.10
313.208;0.10
313.578;0.09
313.948;0.07
314.318;0.09
314.688;0.12
315.059;0.14
315.429;0.08
315.799;0.09
316.169;0.06
316.539;0.10
316.909;0.12
317.279;0.16
317.649;0.06
318.018;0.13
318.388;0.12
318.758;0.11
319.128;0.10
319.497;0.11
319.867;0.09
320.237;0.11
320.606;0.10
320.976;0.13
321.345;0.07
321.715;0.14
322.084;0.10
322.454;0.12
322.823;0.08
323.192;0.13
