Data from CuSO4_3_reference_FLMS006191__0__14-57-17-068.txt Node

Date: Sat May 15 14:57:17 MSK 2021
User: margo
Spectrometer: FLMS00619
Trigger mode: 0
Integration Time (sec): 1,000000E-3
Scans to average: 250
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
179,619	-16,85
180,001	-16,85
180,383	-16,85
180,764	-65,92
181,146	-73,94
181,528	-72,12
181,91	-71,47
182,292	-69,63
182,673	-66,16
183,055	-58,46
183,437	-41,8
183,818	-28,5
184,2	-19,07
184,581	-1,93
184,963	11,88
185,344	27,61
185,726	45,26
186,107	61,32
186,489	74,75
186,87	96,86
187,251	111,46
187,633	131,48
188,014	144,06
188,395	168,34
188,777	214,9
189,158	229,89
189,539	243,87
189,92	252,5
190,301	264,19
190,682	277,38
191,063	287,72
191,444	300,26
191,825	304,24
192,206	311,57
192,587	320,21
192,968	327,06
193,349	329,65
193,73	336,58
194,111	342,76
194,492	341,07
194,872	345,24
195,253	352,19
195,634	346,65
196,014	347,96
196,395	348,06
196,776	347,66
197,156	353,68
197,537	353,35
197,917	348,38
198,298	348,22
198,678	349,97
199,059	345,75
199,439	343,92
199,819	347,07
200,2	342,69
200,58	344,01
200,96	341,23
201,341	341,91
201,721	338,02
202,101	332,67
202,481	334,69
202,861	330,78
203,241	328,45
203,621	332,82
204,001	327,26
204,381	331,32
204,761	328,67
205,141	329,57
205,521	326,83
205,901	323,42
206,281	321,1
206,661	327,07
207,04	321,62
207,42	320,98
207,8	322,02
208,18	319,99
208,559	324,62
208,939	323,19
209,318	323,9
209,698	320,18
210,077	319,43
210,457	320,77
210,836	320,13
211,216	322,72
211,595	320,98
211,975	318,84
212,354	324,09
212,733	322,64
213,113	321,9
213,492	322,52
213,871	322,94
214,25	323,73
214,629	328,29
215,009	326,16
215,388	328,05
215,767	327,08
216,146	325,67
216,525	329,57
216,904	328,44
217,283	324,69
217,662	329,62
218,04	331,45
218,419	329,81
218,798	332,01
219,177	329,77
219,556	334,68
219,934	332,44
220,313	332,73
220,692	332,09
221,07	335,05
221,449	333,44
221,827	335,69
222,206	333,91
222,584	337,26
222,963	333,76
223,341	333,22
223,72	332,62
224,098	335,44
224,476	336,5
224,855	338,55
225,233	336,49
225,611	336,96
225,99	334,12
226,368	337,98
226,746	338,48
227,124	341,22
227,502	336,74
227,88	340,43
228,258	333,8
228,636	339,58
229,014	335,91
229,392	336,31
229,77	337,71
230,148	340,15
230,526	340,14
230,903	342,17
231,281	339,92
231,659	339,2
232,037	339,02
232,414	340,34
232,792	340,65
233,169	344,1
233,547	344,65
233,925	346,13
234,302	341,82
234,68	342,45
235,057	342,56
235,434	347,96
235,812	347,72
236,189	345,48
236,566	347,23
236,944	344,35
237,321	342,65
237,698	344,55
238,075	346,07
238,453	344,96
238,83	348,23
239,207	343,47
239,584	343,05
239,961	345,33
240,338	347,52
240,715	346,86
241,092	346,15
241,469	345,34
241,845	345,8
242,222	348,56
242,599	348,98
242,976	348,64
243,353	349,91
243,729	348,31
244,106	350,83
244,483	353,34
244,859	347,36
245,236	351,99
245,612	353,47
245,989	352,53
246,365	351,67
246,742	350,46
247,118	348,95
247,494	349,64
247,871	351,74
248,247	357,37
248,623	349,18
249	347,33
249,376	351,73
249,752	349,55
250,128	349,62
250,504	353,9
250,88	352,65
251,256	349,05
251,632	356,36
252,008	355,3
252,384	350,77
252,76	352,52
253,136	354,39
253,512	352,9
253,888	355
254,263	348,2
254,639	353,42
255,015	353,09
255,391	355,65
255,766	357,57
256,142	357,13
256,517	351,94
256,893	353,89
257,269	357,37
257,644	357,29
258,019	358,41
258,395	353,94
258,77	355,76
259,146	354,52
259,521	358,5
259,896	357,2
260,271	355,32
260,647	357,35
261,022	358,24
261,397	354,52
261,772	357,47
262,147	359,7
262,522	357,19
262,897	359,58
263,272	360,38
263,647	360,29
264,022	358,27
264,397	361,14
264,772	362,43
265,147	359,97
265,521	362,68
265,896	362,64
266,271	360,11
266,645	361,3
267,02	358,63
267,395	362,05
267,769	359,84
268,144	361,02
268,518	359,67
268,893	362,2
269,267	361,08
269,642	362,73
270,016	367,45
270,39	365,37
270,765	362,79
271,139	361,82
271,513	361,37
271,887	362,8
272,261	363,43
272,636	364,36
273,01	362,66
273,384	361,38
273,758	362,08
274,132	363,33
274,506	361,72
274,88	363,36
275,254	360,48
275,627	363,42
276,001	364,66
276,375	363,93
276,749	365,09
277,122	361,95
277,496	364,77
277,87	367,67
278,243	364,21
278,617	369,6
278,991	367,3
279,364	365,42
279,738	365,43
280,111	363,21
280,484	365,94
280,858	364,88
281,231	366,22
281,604	367,17
281,978	364,79
282,351	367,6
282,724	367,74
283,097	370,45
283,47	367,04
283,844	365,36
284,217	370,36
284,59	369,06
284,963	366,07
285,336	371,05
285,709	362,56
286,081	367,19
286,454	367,63
286,827	371,55
287,2	366,32
287,573	368,47
287,945	364,42
288,318	365,23
288,691	363,85
289,063	368,67
289,436	368,18
289,808	367,64
290,181	369,89
290,553	368,26
290,926	368,78
291,298	365,2
291,671	368,86
292,043	372,14
292,415	371,88
292,788	368,81
293,16	369,61
293,532	366,82
293,904	371,2
294,276	367,51
294,648	371,29
295,02	374,2
295,392	369,53
295,764	369,79
296,136	373,23
296,508	372,27
296,88	372,18
297,252	370,93
297,624	372,91
297,996	374,25
298,367	373,45
298,739	369,67
299,111	371,52
299,482	371,37
299,854	370,21
300,225	367,46
300,597	372,31
300,968	365,46
